experiment,config,mean_ttft_ms,p50_ttft,p95_ttft,p99_ttft,mean_tok_per_sec,mean_total_ms,p95_total_ms,p99_total_ms,throttled_ms,nr_throttled,psi_cpu_some_avg10,psi_cpu_full_avg10,minor_faults,major_faults,psi_mem_some_avg10,psi_mem_full_avg10,n
baseline_threads,t=1,56.87,57.18,58.90,58.95,17.86,7223.59,7246.25,7248.30,0.0,,0.000,0.000,,,0.000,0.000,5
baseline_threads,t=2,34.19,33.89,35.80,36.00,30.59,4218.63,4241.57,4242.44,0.0,,0.000,0.000,,,0.000,0.000,5
baseline_threads,t=4,29.50,29.32,30.83,31.05,34.14,3779.76,3840.52,3842.05,0.0,,0.000,0.000,,,0.000,0.000,5
baseline_threads,t=8,179.57,175.21,205.93,208.95,5.72,22563.16,22917.30,22928.24,0.0,,0.000,0.000,,,0.000,0.000,5
baseline_prompt,p=64,93.57,106.21,146.76,148.19,33.62,3907.16,4087.59,4091.02,0.0,,0.000,0.000,,,0.000,0.000,5
baseline_prompt,p=256,33.91,30.06,42.43,43.54,32.30,4006.14,4223.94,4238.14,0.0,,0.000,0.000,,,0.000,0.000,5
baseline_prompt,p=512,177.33,55.02,565.99,663.99,27.62,5049.84,6769.99,7139.53,0.0,,0.000,0.000,,,0.000,0.000,5
concurrency,conc=1,48.79,54.29,68.77,70.87,23.37,5736.44,6576.50,6597.16,0.0,,0.000,0.000,,,0.000,0.000,5
concurrency,conc=2,141.55,69.81,484.21,731.10,15.88,8281.11,9052.43,9052.55,0.0,,0.000,0.000,,,0.000,0.000,10
concurrency,conc=4,251.60,84.33,1512.42,1512.62,16.02,8507.92,12864.19,12866.39,0.0,,0.000,0.000,,,0.000,0.000,20
cpu_throttle,quota=25%,1009.34,1083.57,1648.83,1759.54,12.55,43147.32,93436.67,96743.65,1564938.1,4471,94.966,94.670,,,0.000,0.000,5
cpu_throttle,quota=50%,270.58,281.97,300.28,300.82,20.05,9559.70,19720.05,21742.23,2202815.7,6325,92.120,91.482,,,0.000,0.000,5
cpu_throttle,quota=75%,197.12,190.81,330.11,344.33,18.79,7679.71,10494.15,10732.81,2631877.8,7561,90.998,90.692,,,0.000,0.000,5
cpu_throttle,quota=100%,37.80,30.66,52.01,53.14,33.89,3817.25,3976.64,3998.93,2631951.8,7563,32.538,32.140,,,0.000,0.000,5
mem_pressure,unlimited,30.51,30.45,31.06,31.06,32.68,3949.07,4076.84,4106.14,0.0,,0.000,0.000,1344809,5435,0.010,0.010,5
mem_pressure,768MB,31.65,29.55,39.37,41.21,33.21,3887.23,4003.08,4028.26,0.0,,0.000,0.000,1161176,5435,0.213,0.213,5
mem_pressure,512MB,30.36,29.55,32.75,33.21,32.78,3940.75,4104.58,4121.66,0.0,,0.000,0.000,976524,5170,2.857,2.857,5
