# conc=4 threads=4 unique_prompt_per_rep n_predict=128 reps=5 cache=DISABLED
# date=2026-05-13T18:48:16-04:00
# rep ttft_ms tok_per_sec total_ms
1.1 3599.16 0.79 166603.71
1.2 8101.19 0.82 164599.50
1.3 8100.91 0.82 164030.28
1.4 8101.84 0.82 164599.69
2.1 222.34 0.81 158306.33
2.2 148.81 0.80 160079.32
2.3 6106.58 0.84 158206.64
2.4 6106.43 0.84 157725.73
3.1 6099.24 0.80 166797.01
3.2 1863.38 0.79 163197.92
3.3 6099.13 0.80 166599.14
3.4 1863.60 0.79 163198.06
4.1 5186.95 0.60 219502.42
4.2 6857.51 0.61 216600.02
4.3 6857.36 0.61 215944.26
4.4 6857.66 0.61 216600.43
5.1 11552.32 0.71 191276.22
5.2 11552.65 0.70 195495.62
5.3 11554.17 0.70 195495.74
5.4 11557.05 0.70 195495.84
