# mitigation=queue_limit state=before concurrency=4
# date=2026-05-13T12:47:56-04:00
# rep ttft_ms tok_per_sec total_ms
1.1 74.34 16.69 7744.25
1.2 35.13 34.97 3695.72
1.3 74.20 16.70 7740.99
1.4 522.33 17.68 7760.58
2.1 71.10 17.85 7242.44
2.2 70.98 17.85 7241.70
2.3 71.04 17.85 7242.31
2.4 51.36 17.73 7271.11
3.1 81.40 14.93 8652.36
3.2 81.45 14.93 8653.86
3.3 81.50 14.93 8654.12
3.4 51.61 14.88 8656.04
4.1 95.70 17.97 7217.39
4.2 95.59 17.99 7209.12
4.3 49.12 17.96 7174.77
4.4 49.20 17.96 7175.57
5.1 81.08 17.31 7477.22
5.2 80.93 17.32 7470.42
5.3 51.42 17.25 7471.97
5.4 51.46 17.25 7473.50
