# experiment=concurrency conc=4 threads=4 prompt_len=256 n_predict=128 reps=5
# date=2026-05-13T12:20:23-04:00
# rep ttft_ms tok_per_sec total_ms
1.1 81.44 10.06 12802.00
1.2 1512.67 11.27 12866.94
1.3 1512.41 11.28 12864.05
1.4 767.84 11.99 11442.28
2.1 89.28 15.92 8127.34
2.2 89.39 15.92 8129.75
2.3 69.35 15.88 8130.52
2.4 82.36 17.27 7493.22
3.1 86.30 17.82 7267.75
3.2 86.41 17.82 7268.33
3.3 51.61 17.68 7292.34
3.4 51.66 17.68 7293.11
4.1 58.85 16.89 7636.40
4.2 58.65 16.91 7629.96
4.3 58.75 16.89 7635.39
4.4 53.65 16.90 7627.97
5.1 90.60 18.07 7172.97
5.2 90.70 18.07 7174.10
5.3 49.32 18.09 7126.67
5.4 90.81 18.06 7177.24
# vmstat_ctxt=14195946
