# mitigation=queue_limit state=after concurrency=1
# date=2026-05-13T12:48:39-04:00
# rep ttft_ms tok_per_sec total_ms
1 29.99 34.42 3748.97
2 98.51 33.89 3875.65
3 28.20 34.29 3761.43
4 29.84 34.05 3789.26
5 29.70 34.16 3777.08
6 30.51 33.91 3805.32
7 32.11 32.97 3914.51
8 31.77 33.33 3871.61
9 31.03 33.79 3819.04
10 44.59 33.39 3878.38
11 29.57 33.28 3876.06
12 49.08 33.55 3864.58
13 31.17 32.64 3952.46
14 30.46 33.30 3874.54
15 33.68 33.10 3900.46
16 30.98 32.32 3990.94
17 31.04 32.53 3965.49
18 32.49 32.23 4004.27
19 32.46 31.79 4058.61
20 32.25 32.18 4009.60
